hour,is_peak,elec,solar
22,0,3.0816,0
23,0,1.9576,0
0,0,1.36705,0
1,0,1.29905,0
2,0,1.6012,0
3,0,1.6476,0
4,0,1.86075,0
5,0,3.13315,0
6,0,5.0362,0
7,0,6.41105,0
8,0,8.16875,0
9,0,8.7192,0.012729549
10,0,8.68365,0.105696995
11,0,9.1049,0.21494156925000002
12,0,9.011,0.33263773
13,0,8.9537,0.413188648
14,0,9.239,0.45774207024999997
15,1,8.779,0.38407763
16,1,6.92695,0.205133556
17,1,7.6226,0.11174874774999999
18,1,6.47895,0.018989983250000002
19,1,5.955,0
20,0,5.62275,0
21,0,4.7446,0
22,0,3.2211,0
23,0,2.2458,0
0,0,1.33145,0
1,0,1.2649,0
2,0,1.3487,0
3,0,1.6335,0
4,0,2.2373,0
5,0,2.82695,0
6,0,5.03165,0
7,0,6.24955,0
8,0,8.55125,0
9,0,8.8298,0.008868948
10,0,9.4837,0.052796327
11,0,9.6513,0.070534224
12,0,9.08175,0.067717029
13,0,9.86695,0.09557596
14,0,9.57485,0.116652755
15,1,8.93565,0.091715359
16,1,6.8913,0.072621035
17,1,6.9561,0.064169449
18,1,6.34535,0.009599332
19,1,5.52785,0
20,0,5.4752,0
21,0,4.49765,0
22,0,2.74355,0
23,0,1.68735,0
0,0,1.5768,0
1,0,1.71995,0
2,0,1.35165,0
3,0,1.4316,0
4,0,1.7761,0
5,0,3.0177,0
6,0,5.0472,0
7,0,6.75055,0
8,0,8.28405,0
9,0,9.19115,0.019303004749999998
10,0,9.9643,0.064899833
11,0,9.604,0.143781302
12,0,10.13285,0.354027546
13,0,10.1382,0.214524207
14,0,10.3305,0.217758765
15,1,9.9343,0.327838064
16,1,7.5135,0.268259599
17,1,7.50475,0.147224541
18,1,6.59445,0.026711185
19,1,6.20535,0
20,0,5.3381,0
21,0,4.817,0
22,0,3.02095,0
23,0,2.0115,0
0,0,1.8817,0
1,0,1.29675,0
2,0,1.1602,0
3,0,1.34225,0
4,0,1.4304,0
5,0,1.5362,0
6,0,2.31415,0
7,0,3.23435,0
8,0,5.0575,0
9,0,8.3294,0.018468281
10,0,8.6222,0.078255426
11,0,8.98895,0.19167362275000002
12,0,9.23615,0.300500835
13,0,9.30475,0.24655676124999998
14,0,9.15535,0.381051753
15,1,9.6428,0.33889816349999996
16,1,9.72415,0.22610601
17,1,10.22715,0.13877295499999998
18,1,10.33375,0.017320534250000002
19,1,9.98,0
20,0,9.7644,0
21,0,6.63375,0
22,0,4.65155,0
23,0,3.03825,0
0,0,2.18705,0
1,0,1.816,0
2,0,1.5279,0
3,0,1.19385,0
4,0,1.40785,0
5,0,1.473,0
6,0,1.88425,0
7,0,1.8002,0
8,0,2.20435,0
9,0,4.097,0.009912354
10,0,5.93515,0.0807596
11,0,8.88325,0.224958264
12,0,8.9459,0.347245409
13,0,9.52295,0.405676127
14,0,8.9149,0.407971619
15,1,9.60075,0.353818865
16,1,9.1388,0.263772955
17,1,10.4655,0.142007513
18,1,9.2211,0.031615192
19,1,7.6458,0
20,0,6.99815,0
21,0,5.9913,0
22,0,4.8348,0
23,0,3.25375,0
0,0,1.37145,0
1,0,1.41745,0
2,0,1.74975,0
3,0,1.72615,0
4,0,2.1082,0
5,0,3.20725,0
6,0,5.11705,0
7,0,6.8275,0
8,0,7.96435,0
9,0,9.2783,0.010016695
10,0,9.40255,0.076168615
11,0,9.2852,0.21640233724999997
12,0,9.67195,0.34839315525000003
13,0,9.2746,0.402858932
14,0,9.7867,0.40087646074999994
15,1,8.71245,0.36112270474999997
16,1,7.36165,0.284015025
17,1,6.73255,0.159328047
18,1,6.11675,0.033806344
19,1,5.49715,0
20,0,5.3576,0
21,0,4.34955,0
22,0,3.16875,0
23,0,1.68385,0
0,0,1.34455,0
1,0,1.50285,0
2,0,1.367,0
3,0,1.86795,0
4,0,1.91645,0
5,0,3.0418,0
6,0,5.08735,0
7,0,6.53375,0
8,0,7.9862,0
9,0,9.0844,0.010121035
10,0,9.18755,0.082220367
11,0,9.64665,0.22381051750000003
12,0,9.5349,0.35538397324999993
13,0,9.4111,0.412875626
14,0,9.78615,0.417675292
15,1,8.697,0.342654424
16,1,6.9235,0.27577212025000003
17,1,6.9518,0.144198665
18,1,6.55675,0.022537563
19,1,5.50115,0
20,0,5.1645,0
21,0,4.44875,0
22,0,3.07405,0
23,0,1.74175,0
0,0,1.79945,0
1,0,1.2992,0
2,0,1.38545,0
3,0,1.4347,0
4,0,2.1094,0
5,0,3.36915,0
6,0,5.0344,0
7,0,6.2254,0
8,0,7.9079,0
9,0,8.94595,0.010329716249999999
10,0,8.9107,0.079194491
11,0,8.64745,0.21640233725000002
12,0,9.2401,0.34453255424999996
13,0,9.18035,0.393885643
14,0,9.0134,0.392842237
15,1,9.0274,0.36206177
16,1,6.7527,0.28171953274999995
17,1,7.0916,0.159641069
18,1,6.78775,0.035684473999999994
19,1,5.95115,0
20,0,5.83835,0
21,0,4.74855,0
22,0,3.2477,0
23,0,2.06555,0
0,0,1.38945,0
1,0,1.32985,0
2,0,1.6125,0
3,0,1.4554,0
4,0,2.2894,0
5,0,3.43825,0
6,0,5.11845,0
7,0,6.4707,0
8,0,8.32685,0
9,0,8.90275,0.037353923
10,0,9.41055,0.107053423
11,0,9.65465,0.197934057
12,0,9.30595,0.258034224
13,0,9.63825,0.39753756274999996
14,0,9.5148,0.398998331
15,1,8.98175,0.370200334
16,1,6.6988,0.281823873
17,1,7.17515,0.136581803
18,1,6.3368,0.046744575
19,1,5.4947,0
20,0,5.1404,0
21,0,4.56975,0
22,0,2.9484,0
23,0,1.688,0
0,0,1.578,0
1,0,1.289,0
2,0,1.5836,0
3,0,1.4734,0
4,0,2.27575,0
5,0,3.2949,0
6,0,5.0937,0
7,0,6.51935,0
8,0,8.45455,0
9,0,8.83555,0.015755426
10,0,9.57805,0.098914858
11,0,9.6716,0.22589732899999998
12,0,9.35235,0.33263773
13,0,9.7241,0.393989984
14,0,9.4373,0.40348497499999997
15,1,9.48725,0.366965776
16,1,6.86805,0.284015025
17,1,7.25145,0.160893155
18,1,6.36585,0.036414858
19,1,6.21775,0
20,0,5.17345,0
21,0,4.60465,0
22,0,2.75405,0
23,0,1.88125,0
0,0,1.8936,0
1,0,1.48585,0
2,0,1.1731,0
3,0,1.1395,0
4,0,1.44775,0
5,0,1.5278,0
6,0,2.54875,0
7,0,3.42935,0
8,0,5.0562,0
9,0,8.1817,0.016277129
10,0,8.8457,0.095784641
11,0,8.79645,0.203881469
12,0,9.4312,0.298622705
13,0,9.07885,0.39357262099999996
14,0,9.3864,0.41454507500000004
15,1,9.6458,0.32314273800000004
16,1,9.50645,0.277337229
17,1,10.46275,0.140338064
18,1,10.1124,0.031510851
19,1,9.97995,0
20,0,9.98385,0
21,0,6.50715,0
22,0,4.6516,0
23,0,2.79775,0
0,0,2.15945,0
1,0,1.98625,0
2,0,1.4489,0
3,0,1.1231,0
4,0,1.1469,0
5,0,1.36075,0
6,0,1.7626,0
7,0,1.90585,0
8,0,2.1,0
9,0,3.7544,0.017007513
10,0,5.42075,0.093280467
11,0,8.8941,0.21087228700000002
12,0,9.1686,0.319699499
13,0,9.3008,0.38292988325000005
14,0,9.15115,0.384286311
15,1,9.38615,0.348601837
16,1,9.37405,0.27535475774999996
17,1,10.25925,0.156406511
18,1,9.43495,0.037249582749999996
19,1,7.57275,0
20,0,6.717,0
21,0,5.99295,0
22,0,4.97425,0
23,0,3.30405,0
0,0,1.33725,0
1,0,1.2649,0
2,0,1.55005,0
3,0,1.64335,0
4,0,1.97215,0
5,0,2.76975,0
6,0,5.02025,0
7,0,6.6939,0
8,0,8.1026,0
