net_load,renewables,renewables_to_load_ratio,load.load
17613.83333,5460.75,0.26968485,20248.75
18433,5210.833333,0.251350122,20736.91667
19852.16667,5400,0.245789716,21956.83333
21607.75,6410.916667,0.267900733,23931.58333
22190.75,7284.25,0.287118953,25371.33333
17629.83333,10868,0.438816726,24819.75
13225.58333,13788.33333,0.588880467,23431.66667
11448.16667,14186.58333,0.641129532,22132.66667
10485.08333,13985.41667,0.663657422,21076.25
9688.75,14176.83333,0.689013716,20575.83333
9501.25,14080,0.679975711,20708.83333
10654.41667,14160.66667,0.654233521,21654.66667
14994.16667,11772.08333,0.513867814,22981.91667
21988.75,7067.75,0.2864629,24765.66667
25322.16667,6007.416667,0.223952678,26829
25329.41667,6316.916667,0.234758886,26910.58333
24776.25,6335.833333,0.239584738,26445.08333
24285.5,6334,0.244295687,25927.58333
23702.75,6209.75,0.245235769,25322.83333
22457.91667,6083.666667,0.25168667,24169.16667
21097.58333,5754.75,0.252339576,22807.75
20082.58333,5362,0.245898755,21799.33333
19521,4802.833333,0.227646417,21096.41667
19003.58333,4452.5,0.217675856,20454.16667
18743.58333,4545.166667,0.225384109,20166.25
18844.08333,4441.666667,0.219702586,20216.41667
19477.66667,4945.416667,0.2375126,20821.33333
20277.83333,5005.416667,0.231685577,21605.08333
19557.08333,6127.916667,0.27832492,22011.33333
16072.16667,9498.5,0.431182485,22030
14800.58333,10166.66667,0.46850837,21700.41667
13836.08333,10463.66667,0.496080607,21102
12603.83333,10465.08333,0.517393815,20215
12303.41667,10367,0.523640691,19797.83333
12757.08333,10354.16667,0.512160549,20224.66667
15080.25,9006.833333,0.427880224,21053.66667
17950.58333,8345.666667,0.371217421,22518.5
22253.58333,5860.916667,0.248163682,23655.5
24562.16667,5496.833333,0.216683909,25369.08333
24343.66667,5996.5,0.235511176,25462.25
23792.83333,6043.083333,0.24062592,25114.25
23293.75,5849.5,0.237383695,24641.58333
22702.83333,5621,0.233377965,24080.33333
21727.5,4893.583333,0.21127234,23162.16667
20482.16667,4853.916667,0.220392787,22030.08333
19471.75,4794,0.227111677,21113.25
18394.5,5110.416667,0.251490062,20322.66667
17982.91667,4950.333333,0.250039112,19799
17512.08333,4979,0.258089987,19291.33333
17695,4840.916667,0.25119909,19271.41667
17752.83333,5245,0.267982903,19571
18422.25,5384.666667,0.266627001,20196.91667
18129.5,6286.666667,0.302423932,20777.08333
15720.5,8258.666667,0.401802604,20582.08333
12126.33333,10662.25,0.542845801,19663.58333
